"","code","source","value","note","unit","sector","owner","nuts_level","code_label","measure_type_eustat_flag","potential_definition"
"91","BG325","household_waste","0.151167648701093","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"92","BG331","household_waste","0.601099984423582","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"93","BG332","household_waste","0.239993857263314","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"94","BG333","household_waste","0.228417842247777","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"95","BG334","household_waste","0.152868180363666","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"96","BG341","household_waste","0.526123492809668","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"97","BG342","household_waste","0.249857953127466","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"98","BG343","household_waste","0.166316804650489","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"99","BG344","household_waste","0.421672384321021","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"100","BG411","household_waste","1.63421978466857","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"101","BG412","household_waste","0.313142024284654","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"102","BG413","household_waste","0.40938275333994","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"103","BG414","household_waste","0.168952375672171","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"104","BG415","household_waste","0.172945588415535","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"105","BG421","household_waste","0.864218035634208","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"106","BG422","household_waste","0.311559163339804","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"107","BG423","household_waste","0.348644418570473","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"108","BG424","household_waste","0.154049948647032","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"109","BG425","household_waste","0.193344376707205","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"110","BGZZZ","household_waste","0","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"111","CY000","household_waste","0.343293860911581","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"112","CYZZZ","household_waste","0","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"113","CZ010","household_waste","1.3910971959559","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"114","CZ020","household_waste","1.41348002917373","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"115","CZ031","household_waste","0.688902272483637","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"116","CZ032","household_waste","0.625382828816014","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"117","CZ041","household_waste","0.324087856234245","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"118","CZ042","household_waste","0.886937993765494","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"119","CZ051","household_waste","0.474122459656222","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"120","CZ052","household_waste","0.60073046511762","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"121","CZ053","household_waste","0.560943512649261","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"122","CZ063","household_waste","0.554297187154946","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"123","CZ064","household_waste","1.27566032385999","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"124","CZ071","household_waste","0.68900204411346","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"125","CZ072","household_waste","0.635845693248915","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"126","CZ080","household_waste","1.32206619203425","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"127","CZZZZ","household_waste","0","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
